personId:ID|country:STRING|tagClass:STRING|minPathDistance:INT|maxPathDistance:INT
2199023290774|Poland|SoccerManager|3|4
2199023302404|France|Saint|3|4
2199023302404|Cuba|ComicsCreator|3|4
2199023263376|Taiwan|FormulaOneRacer|3|4
2199023293139|Belgium|PrimeMinister|3|4
28906|Cuba|Architect|3|4
2199023295663|Ukraine|Saint|3|4
59535|Cuba|ComicsCreator|3|4
16805|Algeria|AmericanFootballPlayer|3|4
2199023301280|Madagascar|Saint|3|4
6560|Ukraine|BaseballPlayer|3|4
2199023263376|Ethiopia|Cricketer|3|4
34117|Zambia|Politician|3|4
2199023293626|Australia|Saint|3|4
24112|Netherlands|Saint|3|4
2199023268547|Algeria|ComicsCreator|3|4
2199023262575|Australia|Thing|3|4
64403|Morocco|Senator|3|4
2199023262178|Peru|NascarDriver|3|4
48826|Madagascar|BaseballPlayer|3|4
2199023290774|Taiwan|Saint|3|4
2199023301280|Belgium|Saint|3|4
34117|Poland|NascarDriver|3|4
28906|Kazakhstan|BasketballPlayer|3|4
2199023259334|Sweden|Thing|3|4
2199023257268|Ukraine|Saint|3|4
2199023290774|Sweden|Saint|3|4
2199023262575|Ethiopia|Architect|3|4
2199023301280|Morocco|PrimeMinister|3|4
2199023262575|Australia|Monarch|3|4
25235|Sweden|Cricketer|3|4
2199023300640|Poland|Architect|3|4
59535|France|NascarDriver|3|4
2199023302404|Ethiopia|Thing|3|4
2199023289166|Cuba|Architect|3|4
2199023297691|Peru|Architect|3|4
59535|Morocco|SoccerManager|3|4
2199023276616|Netherlands|Cricketer|3|4
2199023312391|Colombia|PrimeMinister|3|4
2199023268547|Ukraine|BaseballPlayer|3|4
2199023311299|Taiwan|PrimeMinister|3|4
53195|Zambia|Senator|3|4
38227|France|Cricketer|3|4
37197|Algeria|Thing|3|4
2199023265164|Australia|AmericanFootballPlayer|3|4
38227|Hungary|Cricketer|3|4
37197|Tanzania|AmericanFootballPlayer|3|4
2199023265164|Zambia|SoccerManager|3|4
6560|Sweden|NascarDriver|3|4
2199023265889|Tanzania|Thing|3|4
24112|Madagascar|Architect|3|4
