tag:STRING|delta:INT
The_Best_of_David_Bowie_1969/1974|15
Gold_Cobra|8
Apagorevmeno|9
Cosmic_Egg|12
Untitled_Korn_album|16
After_the_Heat|8
Glee:_The_Music,_Volume_6|10
Been_There,_Done_That|12
...From_the_Hungry_i|8
Guapa|16
Everything_I_Wanted|8
House_of_Yes:_Live_from_House_of_Blues|12
Rhythm_and_Stealth|12
Du_riechst_so_gut|12
Duel_of_the_Fates|10
Kin_Endate|14
Stoned_in_Love|9
Extreme_Behavior|11
Maybach_Music_2|14
Erase/Rewind|16
Highway_Chile|13
Concert:_The_Cure_Live|15
Under_Blackpool_Lights|14
Always_Where_I_Need_to_Be|14
Head_to_Toe|11
Overpowered|8
Zoo_Station|10
Call_Me_the_Breeze|13
Breaking_the_Girl|10
Call_the_Man|13
Juhi_Chawla|15
Scurrilous|11
Sorry_for_Party_Rocking|14
Anthems_for_the_Damned|14
Only_a_Lad|14
Born_on_a_Pirate_Ship|9
Wooden_Leather|10
Once_Bitten,_Twice_Shy|14
Give_It_to_Me_Right|15
Chapter_V|9
Sour_Times|16
Solo_Star|8
At_the_Show|10
Back_Against_the_Wall|15
Honky_Tonk_Badonkadonk|15
Great_Southern_Land|10
The_Kink_Kontroversy|11
Get_Like_Me|9
Animal_I_Have_Become|9
When_I_See_U|13
Oui_mais..._non|8
Infernal_Love|10
Them_Bones|14
Japanese_Whispers|8
Full_Collapse|11
Bang_Bang_Bang|12
I_Adore_Mi_Amor|16
Lovely_Head|10
Oh_Aaron|9
Oj,_oj,_oj,_så_glad_jeg_skal_bli|11
When_the_Children_Cry|12
Saudades_de_Rock|15
Mmhmm|12
Before_You_Were_Punk|15
Live_&_off_the_Record|8
Fool_in_the_Rain|12
Orchestra_of_Wolves|10
Mama_Kin|8
Labour_of_Lust|8
Niels_Bohr|15
Anthology:_Set_the_World_Afire|8
Say_Aah|13
Various_Positions|16
Butterflies_and_Hurricanes|10
Take_Me_to_the_Pilot|16
Under_the_Milky_Way|12
Rocks_Off|9
Friends_in_Bellwoods|15
Lil_Star|10
Everything_Went_Black|8
Take_the_Heat_off_Me|15
Vangelis|14
Houses_of_the_Molé|16
1958_Miles|14
25_Years_On|16
Ooh,_Yes_I_Do|9
Hourly,_Daily|11
Lovehunter|14
Karn_Evil_9|16
Lemonjelly.ky|10
Drawn_from_Memory|11
Manboy|10
Nothing_but_the_Beat|9
Northern_Qi|12
How_Can_I_Keep_from_Singing?|12
Perfect_from_Now_On|13
Pay_to_Cum|8
Fate_of_Nations|15
Suga_Suga|12
Kick,_Push|13
Under_Attack|16
How_Do_U_Want_It|14
Back_in_the_U.S.A.|12
Opposite_of_Adults|11
Fables_from_a_Mayfly:_What_I_Tell_You_Three_Times_Is_True|15
U2_Go_Home:_Live_from_Slane_Castle,_Ireland|14
Throw_It_in_the_Bag|12
Love_Is_Only_a_Feeling|8
Ruxandra_Dragomir|15
Winning_Days|10
Out_Here_Grindin|11
Punk_Goes_Acoustic_2|11
Devon_Hughes|8
Cry_Little_Sister|10
When_the_Lights_Go_Out|10
Lost_in_Your_Eyes|8
Kiss_Unplugged|12
Crüe_Fest|13
Love_Deluxe|8
Secret_World_Live|13
Heisei_Fūzoku|8
There_Is_a_Season|16
Stranger_in_This_Town|9
Wernher_von_Braun|8
Empty_Spaces|13
Difficult_to_Cure|9
Detachable_Penis|10
Love_on_a_Two-Way_Street|13
The_New_Order|15
Everything_I_Love|10
Scoundrel_Days|16
The_State_vs._Radric_Davis|13
Joyful_Rebellion|13
Dizzy,_Miss_Lizzy|10
Mainliner:_Wreckage_from_the_Past|8
If_This_World_Were_Mine|10
Irina_Spîrlea|15
I_Say_I_Say_I_Say|12
Kernkraft_400|8
Motown_Junk|12
Rock_Box|16
Songs_for_Survival|8
Highway_Companion|10
Motörizer|16
The_Ballad_of_Peter_Pumpkinhead|15
Ferdinand_Magellan|11
Cities_in_Dust|16
Cose_della_vita|12
Hallowed_Be_Thy_Name|8
Live_at_the_Gaslight_1962|11
