tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Jeff_Kennett|2012-12-31|Ralph_Bakshi|2011-02-12|4
Alex_Shelley|2011-12-01|Republic_of_New_Granada|2010-04-29|5
Big_Poppa|2012-12-06|East_Germany|2010-05-24|4
Gin_and_Juice|2012-12-06|Slovenia|2010-01-30|6
J.E._Heartbreak|2012-12-25|Right_on_the_Money|2011-05-10|5
No_Way_to_Say|2012-12-22|Apagorevmeno|2010-06-03|6
Imperial_Bedroom|2012-12-17|Back_for_the_Attack|2010-12-02|3
Party_in_the_U.S.A.|2012-09-10|Right_on_the_Money|2011-05-10|3
All_by_Myself|2012-09-05|Slovenia|2010-01-30|6
The_Best_of_David_Bowie_1969/1974|2012-12-25|Pieces_of_a_Man|2010-10-12|4
Ralph_Bakshi|2012-12-28|Something_to_Remember|2011-02-15|4
Aga_Khan_IV|2012-12-11|Seventh_Star|2010-05-27|4
East_Germany|2011-11-27|Disco_Duck|2010-07-23|6
After_the_Heat|2012-12-31|Preflyte|2010-06-03|3
J.E._Heartbreak|2012-12-25|Republic_of_New_Granada|2010-04-29|6
Jerry_Lee_Lewis|2011-11-20|Lovesexy|2010-06-03|5
Jeff_Kennett|2012-12-31|Disco_Duck|2010-07-23|5
Aga_Khan_IV|2012-12-11|Something_in_Common|2010-05-27|4
J.E._Heartbreak|2012-12-25|William_Blake|2010-02-24|6
Black_Tie_White_Noise|2012-12-13|Arma-Goddamn-Motherfuckin-Geddon|2010-10-05|5
Transatlanticism|2012-12-14|Preflyte|2010-06-03|6
Koda_Kumi|2012-12-25|Dancing_Undercover|2010-05-27|6
Meaty_Beaty_Big_and_Bouncy|2012-12-18|Rani_Mukerji|2012-03-24|4
Black_Tie_White_Noise|2012-12-13|Shepherd_Moons|2010-06-16|6
Locked_Out|2012-12-26|Bulgaria|2010-05-22|6
Gold_Cobra|2012-12-31|Alex_Shelley|2011-12-01|4
Locked_Out|2012-12-26|Thirteenth_Step|2010-05-27|3
J.E._Heartbreak|2012-12-25|Share_My_World|2010-06-04|6
Ooo_Baby_Baby|2012-11-18|Something_in_Common|2010-05-27|5
Party_in_the_U.S.A.|2012-09-10|Aga_Khan_IV|2010-11-25|6
Furthermore:_From_the_Studio,_From_the_Stage|2012-12-22|Elvis_Presley|2010-01-30|6
Right_on_the_Money|2012-12-28|Rivers_of_Babylon|2010-04-07|3
Black_Tie_White_Noise|2012-12-13|Cosmic_Egg|2011-03-27|5
Rub_It_In|2012-12-31|Nightflight_to_Venus|2011-04-14|5
Gold_Cobra|2012-12-31|Ebeneezer_Goode|2010-02-24|4
Linda_Ronstadt|2012-01-25|Jacques_Chirac|2010-01-31|3
J.E._Heartbreak|2012-12-25|Rub_It_In|2010-11-21|4
Alex_Shelley|2011-12-01|Space_Ritual|2010-04-29|5
Something_to_Remember|2012-11-29|Bulgaria|2010-05-22|3
Apagorevmeno|2012-12-30|Elvis_Presley|2010-01-30|6
Rub_It_In|2012-12-31|Voices_in_the_Wilderness|2010-10-31|5
Shepherd_Moons|2012-12-07|East_Germany|2010-05-24|5
MantaRay|2012-12-18|Jerry_Lee_Lewis|2010-01-29|5
Meaty_Beaty_Big_and_Bouncy|2012-12-18|Jerry_Lee_Lewis|2010-01-29|5
Sikh_Empire|2012-10-17|Untitled_Korn_album|2010-10-11|6
Here_Comes_the_Rain_Again|2012-12-19|Wasting_Light|2010-05-27|4
Gin_and_Juice|2012-12-06|Pieces_of_a_Man|2010-10-12|5
Relationship_of_Command|2012-12-18|From_Yesterday|2010-11-23|3
Space_Ritual|2012-12-18|East_Germany|2010-05-24|4
Aga_Khan_IV|2012-12-11|Party_in_the_U.S.A.|2010-02-24|4
No_Way_to_Say|2012-12-22|Gin_and_Juice|2010-02-24|3
Darfur|2012-03-18|Bright_Lights_Bigger_City|2010-05-27|4
Transatlanticism|2012-12-14|Shepherd_Moons|2010-06-16|3
World_of_Our_Own|2012-12-03|The_Thin_Ice|2011-06-19|3
Moving_Violation|2012-12-26|Beyond_My_Control|2012-01-30|6
Rub_It_In|2012-12-31|Moving_Violation|2010-09-15|3
Slovenia|2011-11-07|Brand_New_Cadillac|2010-06-03|4
Republic_of_New_Granada|2012-10-06|Rani_Mukerji|2012-03-24|3
Shepherd_Moons|2012-12-07|Going_to_a_Go-Go|2010-08-27|4
Skin_and_Bones|2012-12-29|Lee_Hyung-taik|2011-01-21|4
God_in_Me|2012-12-23|Skin_and_Bones|2011-05-27|4
The_Thin_Ice|2012-12-31|Hallo_Spaceboy|2010-02-25|5
I_Can_Hear_Music|2012-12-12|Northern_Lights_–_Southern_Cross|2010-10-12|3
Stay_Too_Long|2012-12-30|Cosmic_Egg|2011-03-27|6
Voices_in_the_Wilderness|2012-12-27|The_Best_of_David_Bowie_1969/1974|2010-07-07|5
Get_Down_and_Get_With_It|2012-12-27|Preflyte|2010-06-03|3
Hot_n_Cold|2012-11-03|Get_Down_and_Get_With_It|2011-02-16|6
Here_Comes_the_Rain_Again|2012-12-19|Brand_New_Cadillac|2010-06-03|3
Beyond_My_Control|2012-12-08|A.D.I.D.A.S.|2010-09-14|3
Lovesexy|2012-12-09|William_Blake|2010-02-24|6
Rivers_of_Babylon|2012-08-13|Slovenia|2010-01-30|3
God_in_Me|2012-12-23|Right_on_the_Money|2011-05-10|3
MantaRay|2012-12-18|Darfur|2010-02-27|6
Right_on_the_Money|2012-12-28|Voices_in_the_Wilderness|2010-10-31|6
Nikita_Khrushchev|2012-01-16|World_of_Our_Own|2010-03-12|6
Hallo_Spaceboy|2012-11-26|Transatlanticism|2010-02-25|6
WOW_Hits_2008|2012-12-31|After_the_Heat|2010-06-17|5
Rivers_of_Babylon|2012-08-13|Furthermore:_From_the_Studio,_From_the_Stage|2012-08-06|4
Brand_New_Cadillac|2012-12-28|Glee:_The_Music,_Volume_6|2010-07-25|4
God_in_Me|2012-12-23|Seventh_Star|2010-05-27|4
Darfur|2012-03-18|Northern_Lights_–_Southern_Cross|2010-10-12|6
Untitled_Korn_album|2012-12-19|Get_Down_and_Get_With_It|2011-02-16|4
Dry_Kids:_B-Sides_1997–2005|2012-12-14|No_Way_to_Say|2010-09-15|6
Brand_New_Cadillac|2012-12-28|Gin_and_Juice|2010-02-24|5
Jeff_Kennett|2012-12-31|Bulgaria|2010-05-22|3
Back_for_the_Attack|2012-12-30|Dry_Kids:_B-Sides_1997–2005|2012-12-14|5
Darfur|2012-03-18|Locked_Out|2010-06-03|3
Broken_Heels|2012-12-14|The_Best_of_David_Bowie_1969/1974|2010-07-07|4
Linda_Ronstadt|2012-01-25|J.E._Heartbreak|2010-05-27|3
Italo_Calvino|2012-12-27|Going_to_a_Go-Go|2010-08-27|4
Moving_Violation|2012-12-26|Imperial_Bedroom|2010-06-03|6
Preflyte|2012-12-24|Italo_Calvino|2010-08-23|5
The_Thin_Ice|2012-12-31|Cosmic_Egg|2011-03-27|3
Voices_in_the_Wilderness|2012-12-27|J.E._Heartbreak|2010-05-27|4
Koda_Kumi|2012-12-25|All_by_Myself|2010-05-27|6
Voices_in_the_Wilderness|2012-12-27|After_the_Heat|2010-06-17|5
Koda_Kumi|2012-12-25|The_Capitol_Albums,_Volume_1|2011-06-23|5
World_of_Our_Own|2012-12-03|No_Way_to_Say|2010-09-15|3
Meaty_Beaty_Big_and_Bouncy|2012-12-18|Get_Down_and_Get_With_It|2011-02-16|3
Hallo_Spaceboy|2012-11-26|Locked_Out|2010-06-03|4
Apagorevmeno|2012-12-30|Zac_Efron|2011-03-04|3
John_VI_of_Portugal|2012-12-20|Party_in_the_U.S.A.|2010-02-24|5
Lee_Hyung-taik|2012-12-20|Lovesexy|2010-06-03|4
Moving_Violation|2012-12-26|Thirteenth_Step|2010-05-27|3
Transatlanticism|2012-12-14|Ebeneezer_Goode|2010-02-24|3
A.D.I.D.A.S.|2012-12-22|Republic_of_New_Granada|2010-04-29|3
J.E._Heartbreak|2012-12-25|Something_to_Remember|2011-02-15|5
All_by_Myself|2012-09-05|J.E._Heartbreak|2010-05-27|3
Voices_in_the_Wilderness|2012-12-27|Ralph_Bakshi|2011-02-12|4
Get_Down_and_Get_With_It|2012-12-27|Brand_New_Cadillac|2010-06-03|3
Dancing_Undercover|2012-12-26|Back_for_the_Attack|2010-12-02|4
Javier_Frana|2012-12-30|William_Blake|2010-02-24|3
Spoonful|2012-12-13|Alex_Shelley|2011-12-01|6
Hallo_Spaceboy|2012-11-26|Italo_Calvino|2010-08-23|5
Locked_Out|2012-12-26|Javier_Frana|2010-06-21|4
Rule/Sparkle|2012-12-29|Stay_Too_Long|2011-10-01|5
Party_in_the_U.S.A.|2012-09-10|Jack_Kerouac|2010-01-22|3
Relationship_of_Command|2012-12-18|Gin_and_Juice|2010-02-24|3
Javier_Frana|2012-12-30|Peter_of_Castile|2011-06-19|6
Bulgaria|2011-10-28|Darfur|2010-02-27|6
Moving_Violation|2012-12-26|Something_to_Remember|2011-02-15|6
A.D.I.D.A.S.|2012-12-22|Bob_Geldof|2010-04-27|5
Beatles_for_Sale|2012-11-11|Imperial_Bedroom|2010-06-03|5
Bulgaria|2011-10-28|Transatlanticism|2010-02-25|4
From_Yesterday|2012-12-27|Peter_of_Castile|2011-06-19|3
Black_Tie_White_Noise|2012-12-13|Relationship_of_Command|2010-06-03|5
Ralph_Bakshi|2012-12-28|Javier_Frana|2010-06-21|6
Something_in_Common|2012-12-27|Darfur|2010-02-27|3
Darfur|2012-03-18|Jerry_Lee_Lewis|2010-01-29|6
Fitzgerald_and_Pass..._Again|2012-12-11|From_Yesterday|2010-11-23|4
William_Blake|2011-11-07|Nightflight_to_Venus|2011-04-14|6
Cosmic_Egg|2012-12-23|Thirteenth_Step|2010-05-27|4
Beatles_for_Sale|2012-11-11|Preflyte|2010-06-03|5
Right_on_the_Money|2012-12-28|Hallo_Spaceboy|2010-02-25|6
Lovesexy|2012-12-09|Transatlanticism|2010-02-25|3
Cosmic_Egg|2012-12-23|Locked_Out|2010-06-03|3
Something_to_Remember|2012-11-29|You_Took_the_Words_Right_Out_of_My_Mouth|2010-05-27|4
East_Germany|2011-11-27|Jerry_Lee_Lewis|2010-01-29|3
Big_Poppa|2012-12-06|Apagorevmeno|2010-06-03|6
Elvis_Presley|2011-08-28|Black_Tie_White_Noise|2010-02-27|5
William_Blake|2011-11-07|Meaty_Beaty_Big_and_Bouncy|2010-04-18|6
I_Can_Hear_Music|2012-12-12|Disco_Duck|2010-07-23|6
The_Best_of_David_Bowie_1969/1974|2012-12-25|Rani_Mukerji|2012-03-24|3
J.E._Heartbreak|2012-12-25|Stay_Too_Long|2011-10-01|5
Houses_of_the_Holy|2012-11-22|Stay_Too_Long|2011-10-01|4
Peter_of_Castile|2012-09-26|Stay_Too_Long|2011-10-01|3
Stay_Too_Long|2012-12-30|Wasting_Light|2010-05-27|3
Apagorevmeno|2012-12-30|God_in_Me|2010-08-18|6
Bulgaria|2011-10-28|Right_on_the_Money|2011-05-10|6
Furthermore:_From_the_Studio,_From_the_Stage|2012-12-22|Seventh_Star|2010-05-27|3
Beyond_My_Control|2012-12-08|Jeff_Kennett|2010-10-30|5
Jerry_Lee_Lewis|2011-11-20|World_of_Our_Own|2010-03-12|6
Northern_Lights_–_Southern_Cross|2012-12-27|Dry_Kids:_B-Sides_1997–2005|2012-12-14|6
Dancing_Undercover|2012-12-26|Aga_Khan_IV|2010-11-25|5
Rule/Sparkle|2012-12-29|Nightflight_to_Venus|2011-04-14|3
Jerry_Lee_Lewis|2011-11-20|Rivers_of_Babylon|2010-04-07|4
God_in_Me|2012-12-23|Imperial_Bedroom|2010-06-03|3
Republic_of_New_Granada|2012-10-06|East_Germany|2010-05-24|3
You_Took_the_Words_Right_Out_of_My_Mouth|2012-12-15|Slovenia|2010-01-30|3
Rani_Mukerji|2012-12-30|Bob_Geldof|2010-04-27|5
Fitzgerald_and_Pass..._Again|2012-12-11|Apagorevmeno|2010-06-03|3
Sans_logique|2012-12-24|Zac_Efron|2011-03-04|5
Lovesexy|2012-12-09|Share_My_World|2010-06-04|6
After_the_Heat|2012-12-31|Bob_Geldof|2010-04-27|6
Moving_Violation|2012-12-26|Hallo_Spaceboy|2010-02-25|4
Disco_Duck|2012-12-04|Gin_and_Juice|2010-02-24|5
Lee_Hyung-taik|2012-12-20|Sikh_Empire|2010-02-24|5
Rub_It_In|2012-12-31|Sans_logique|2011-04-26|5
Boethius|2012-12-17|Space_Ritual|2010-04-29|6
Northern_Lights_–_Southern_Cross|2012-12-27|Preflyte|2010-06-03|3
Koda_Kumi|2012-12-25|MantaRay|2010-10-31|3
