person1Id:ID|person2Id:ID|startDate:DATE|endDate:DATE
24189255859284|8796093023543|2010-04-09|2010-05-01
13194139569793|15393162828589|2010-04-16|2010-05-08
8796093085412|17592186113862|2010-04-17|2010-05-09
30786325618883|8796093090093|2010-04-14|2010-05-06
26388279107659|24189255828614|2010-04-10|2010-05-02
4398046540444|2199023323719|2010-04-10|2010-05-02
30786325618883|30786325619739|2010-04-14|2010-05-06
15393162841854|24189255845999|2010-04-15|2010-05-07
31165|2199023267322|2010-04-16|2010-05-08
4398046574756|10995116329857|2010-04-14|2010-05-06
4398046574478|4398046515842|2010-04-15|2010-05-07
6597069774780|15393162838963|2010-04-12|2010-05-04
26388279136596|6597069793199|2010-04-12|2010-05-04
8796093052028|6597069794793|2010-04-14|2010-05-06
4398046568925|26388279075570|2010-04-15|2010-05-07
30786325618883|2199023285654|2010-04-14|2010-05-06
26388279079638|26388279112103|2010-04-15|2010-05-07
4398046577034|10995116297452|2010-04-15|2010-05-07
28587302337107|28587302352457|2010-04-11|2010-05-03
19791209303034|10995116316934|2010-04-15|2010-05-07
8796093082510|6597069813034|2010-04-13|2010-05-05
39064|10995116314859|2010-04-13|2010-05-05
6597069817445|17592186095513|2010-04-17|2010-05-09
13194139586890|6597069781492|2010-04-13|2010-05-05
10995116341626|15393162796022|2010-04-09|2010-05-01
4398046513374|2199023261516|2010-04-12|2010-05-04
17592186097571|10995116289926|2010-04-14|2010-05-06
10995116310526|15393162840093|2010-04-13|2010-05-05
8796093046681|2199023306360|2010-04-13|2010-05-05
19791209309109|27476|2010-04-15|2010-05-07
4398046577034|15393162834923|2010-04-15|2010-05-07
6597069810666|28587302383147|2010-04-15|2010-05-07
10995116337497|24189255813269|2010-04-11|2010-05-03
13194139558732|28587302340677|2010-04-16|2010-05-08
21990232613124|15393162807101|2010-04-09|2010-05-01
2199023271818|35184372151442|2010-04-17|2010-05-09
24189255862420|8796093059403|2010-04-13|2010-05-05
28587302344198|30786325600793|2010-04-10|2010-05-02
21990232613124|35184372094254|2010-04-09|2010-05-01
13194139538003|10995116328772|2010-04-14|2010-05-06
17592186066318|21990232575393|2010-04-09|2010-05-01
