personId:ID|country:STRING|tagClass:STRING|minPathDistance:INT|maxPathDistance:INT
3777|Estonia|Company|3|4
31198|Lithuania|MartialArtist|3|4
38277|Estonia|SnookerChamp|3|4
10315|Norway|SnookerPlayer|3|4
36774|Honduras|Model|3|4
1879|Uruguay|Astronaut|3|4
21122|Liberia|Chancellor|3|4
3244|Finland|Astronaut|3|4
16981|Singapore|SnookerChamp|3|4
3777|Nicaragua|Company|3|4
11285|Uruguay|Criminal|3|4
878|Dominican_Republic|Model|3|4
3244|Honduras|Criminal|3|4
16949|Uruguay|Model|3|4
14944|Swaziland|Criminal|3|4
22156|Finland|SnookerChamp|3|4
26974|Mauritius|Band|3|4
30311|Oman|Athlete|3|4
21128|Mauritius|MemberOfParliament|3|4
31817|Slovenia|Chancellor|3|4
31987|Estonia|CollegeCoach|3|4
26354|Estonia|Model|3|4
27818|Nicaragua|Band|3|4
25540|Lithuania|MartialArtist|3|4
13931|Oman|SnookerChamp|3|4
26945|Liberia|SnookerPlayer|3|4
14944|Norway|SnookerChamp|3|4
17107|Mauritius|Company|3|4
10315|Norway|Model|3|4
5491|Estonia|Criminal|3|4
4778|Azerbaijan|Wrestler|3|4
35517|Croatia|SnookerPlayer|3|4
30576|El_Salvador|ComicsCharacter|3|4
28997|Finland|Cyclist|3|4
878|Honduras|SnookerChamp|3|4
36465|Laos|SnookerChamp|3|4
11285|Croatia|Cyclist|3|4
21128|Singapore|Company|3|4
19443|Bulgaria|Athlete|3|4
27395|Finland|Chancellor|3|4
9953|Lithuania|SnookerPlayer|3|4
4778|Honduras|Astronaut|3|4
16981|Uruguay|Wrestler|3|4
4778|Mauritius|Athlete|3|4
36465|Estonia|Cyclist|3|4
2864|Jordan|Cyclist|3|4
30473|Croatia|Band|3|4
31264|Jordan|Company|3|4
30685|Bulgaria|Chancellor|3|4
30715|Bulgaria|MemberOfParliament|3|4
26974|Lithuania|Company|3|4
25540|Azerbaijan|SnookerChamp|3|4
21122|Liberia|SnookerPlayer|3|4
30576|Jordan|SnookerPlayer|3|4
2864|El_Salvador|Chancellor|3|4
3244|Honduras|SnookerPlayer|3|4
17107|Liberia|Cyclist|3|4
9953|Estonia|Astronaut|3|4
25723|El_Salvador|SnookerChamp|3|4
5491|El_Salvador|Athlete|3|4
15131|Jordan|Cyclist|3|4
35517|Honduras|Model|3|4
37290|Norway|CollegeCoach|3|4
11285|Mauritius|Band|3|4
27395|Singapore|CollegeCoach|3|4
27818|Singapore|Athlete|3|4
30311|Azerbaijan|Cyclist|3|4
25540|Mauritius|Criminal|3|4
8643|Honduras|MartialArtist|3|4
15131|Finland|Chancellor|3|4
31817|Slovenia|Criminal|3|4
25723|Lithuania|Astronaut|3|4
19912|Azerbaijan|SnookerPlayer|3|4
30685|Slovenia|MemberOfParliament|3|4
37290|Lithuania|Astronaut|3|4
17107|Nicaragua|Criminal|3|4
26354|Croatia|Wrestler|3|4
878|Laos|Athlete|3|4
21122|Croatia|Cyclist|3|4
1879|Laos|ComicsCharacter|3|4
19443|Swaziland|Athlete|3|4
17107|Swaziland|MemberOfParliament|3|4
21122|Mauritius|CollegeCoach|3|4
3244|Uruguay|MartialArtist|3|4
11285|Jordan|Athlete|3|4
878|Liberia|CollegeCoach|3|4
19912|Liberia|SnookerPlayer|3|4
457|Norway|SnookerPlayer|3|4
15131|Lithuania|CollegeCoach|3|4
878|Uruguay|MemberOfParliament|3|4
3777|Bulgaria|Wrestler|3|4
30311|Mauritius|Band|3|4
21122|Norway|Wrestler|3|4
36774|Liberia|SnookerChamp|3|4
36774|Lithuania|SnookerPlayer|3|4
37290|Uruguay|Criminal|3|4
38277|Singapore|Band|3|4
21128|El_Salvador|ComicsCharacter|3|4
35517|Jordan|MemberOfParliament|3|4
21122|Uruguay|Cyclist|3|4
2864|Bulgaria|Criminal|3|4
5002|Bulgaria|MemberOfParliament|3|4
36465|Swaziland|Cyclist|3|4
17107|Mauritius|CollegeCoach|3|4
26974|Croatia|MartialArtist|3|4
26945|Azerbaijan|Model|3|4
8951|Estonia|SnookerPlayer|3|4
37290|Singapore|Cyclist|3|4
457|Honduras|MemberOfParliament|3|4
26354|Oman|ComicsCharacter|3|4
