tag:STRING|startDate:DATE|endDate:DATE
Federico_Fellini|2010-06-16|2010-06-30
Vladimir_Nabokov|2010-06-23|2010-07-06
Otto_von_Bismarck|2010-06-12|2010-06-23
Bing_Crosby|2010-06-15|2010-06-27
Nigeria|2010-06-23|2010-07-06
Julie_Andrews|2010-06-10|2010-06-22
Bruce_Willis|2010-06-13|2010-06-26
Kurt_Vonnegut|2010-06-09|2010-06-19
Henry_Kissinger|2010-06-12|2010-06-23
Sean_Connery|2010-06-12|2010-06-23
Tupac_Shakur|2010-06-11|2010-06-25
Graham_Greene|2010-06-05|2010-06-17
Jerry_Lewis|2010-06-11|2010-06-25
Sophocles|2010-06-16|2010-06-30
James_Stewart|2010-06-08|2010-06-21
Eric_Clapton|2010-06-09|2010-06-19
Samuel_Taylor_Coleridge|2010-06-07|2010-06-18
Jack_Kerouac|2010-06-08|2010-06-21
Nikita_Khrushchev|2010-06-12|2010-06-23
Raphael|2010-06-05|2010-06-17
Avril_Lavigne|2010-06-06|2010-06-20
George_Lucas|2010-06-06|2010-06-20
Robert_Burns|2010-06-06|2010-06-20
Madagascar|2010-06-10|2010-06-22
Ozzy_Osbourne|2010-06-16|2010-06-30
Hirohito|2010-06-13|2010-06-26
Muhammad_Ali_Jinnah|2010-06-11|2010-06-25
Azerbaijan|2010-06-13|2010-06-26
Hillary_Rodham_Clinton|2010-06-14|2010-06-24
Frank_Zappa|2010-06-08|2010-06-21
Alfred,_Lord_Tennyson|2010-06-06|2010-06-20
Carlos_Santana|2010-06-10|2010-06-22
Dustin_Hoffman|2010-06-06|2010-06-20
Vatican_City|2010-06-06|2010-06-20
Billie_Holiday|2010-06-11|2010-06-25
Sean_Connery|2010-06-13|2010-06-26
Whoopi_Goldberg|2010-06-16|2010-06-30
Fiji|2010-06-13|2010-06-26
Antonín_Dvořák|2010-06-16|2010-06-30
Nero|2010-06-23|2010-07-06
Philip_II_of_Spain|2010-06-08|2010-06-21
David|2010-06-10|2010-06-22
Charles_I_of_England|2010-06-15|2010-06-27
Rembrandt|2010-06-09|2010-06-19
Tom_Hanks|2010-06-06|2010-06-20
Joni_Mitchell|2010-06-14|2010-06-24
Kingdom_of_Great_Britain|2010-06-11|2010-06-25
Beyoncé_Knowles|2010-06-11|2010-06-25
Catherine_the_Great|2010-06-07|2010-06-18
Robert_Schumann|2010-06-05|2010-06-17
United_Kingdom_of_Great_Britain_and_Ireland|2010-06-12|2010-06-23
Jordan|2010-06-14|2010-06-24
Jack_Nicholson|2010-06-09|2010-06-19
Henry_Fonda|2010-06-10|2010-06-22
Luiz_Inácio_Lula_da_Silva|2010-06-11|2010-06-25
Cher|2010-06-06|2010-06-20
Paul_the_Apostle|2010-06-24|2010-07-04
Nicholas_II_of_Russia|2010-06-15|2010-06-27
Lord_Byron|2010-06-15|2010-06-27
William_Wordsworth|2010-06-09|2010-06-19
George_S._Patton|2010-06-10|2010-06-22
C._S._Lewis|2010-06-14|2010-06-24
Michael_Caine|2010-06-08|2010-06-21
Katharine_Hepburn|2010-06-13|2010-06-26
Morgan_Freeman|2010-06-06|2010-06-20
Raphael|2010-06-13|2010-06-26
Prussia|2010-06-06|2010-06-20
Abbas_I_of_Persia|2010-06-07|2010-06-18
Somalia|2010-06-12|2010-06-23
William_Blake|2010-06-08|2010-06-21
Yasser_Arafat|2010-06-21|2010-07-05
Noam_Chomsky|2010-06-12|2010-06-23
Immanuel_Kant|2010-06-15|2010-06-27
Peter_the_Great|2010-06-13|2010-06-26
Bono|2010-06-08|2010-06-21
William_Howard_Taft|2010-06-07|2010-06-18
J._K._Rowling|2010-06-05|2010-06-17
Jean_Chrétien|2010-06-11|2010-06-25
Samuel_Johnson|2010-06-10|2010-06-22
Julie_Andrews|2010-06-05|2010-06-17
Monty_Python|2010-06-10|2010-06-22
Tennessee_Williams|2010-06-06|2010-06-20
Harry_S._Truman|2010-06-21|2010-07-05
14th_Dalai_Lama|2010-06-06|2010-06-20
Bruce_Willis|2010-06-10|2010-06-22
Graham_Greene|2010-06-10|2010-06-22
John_Wayne|2010-06-23|2010-07-06
Plutarch|2010-06-10|2010-06-22
Dmitri_Shostakovich|2010-06-11|2010-06-25
Somalia|2010-06-07|2010-06-18
Henry_Ford|2010-06-08|2010-06-21
Luciano_Pavarotti|2010-06-11|2010-06-25
Saint_Peter|2010-06-14|2010-06-24
Calvin_Coolidge|2010-06-08|2010-06-21
Bill_Gates|2010-06-06|2010-06-20
Cole_Porter|2010-06-12|2010-06-23
Samuel_Beckett|2010-06-11|2010-06-25
Bolivia|2010-06-15|2010-06-27
Robert_A._Heinlein|2010-06-10|2010-06-22
Katharine_Hepburn|2010-06-12|2010-06-23
