tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Manuel_Noriega|2012-06-02|Tony_Blair|2012-09-24|5
Manuel_Noriega|2012-06-03|Tony_Blair|2012-09-24|6
Siad_Barre|2010-06-16|John_Wayne|2012-11-18|5
Sammy_Sosa|2010-07-25|Jerome|2011-10-06|4
Sammy_Sosa|2011-10-06|Jerome|2011-10-06|5
Sammy_Sosa|2011-10-07|Jerome|2011-10-06|6
Sammy_Sosa|2012-06-11|Jerome|2011-10-06|5
Genghis_Khan|2011-03-22|Theodore_Roosevelt|2011-12-19|5
Genghis_Khan|2012-01-04|Theodore_Roosevelt|2011-12-19|4
Genghis_Khan|2012-01-05|Theodore_Roosevelt|2011-12-19|5
Genghis_Khan|2011-03-22|Tony_Blair|2012-09-24|4
Genghis_Khan|2012-01-04|Tony_Blair|2012-09-24|3
Genghis_Khan|2012-01-05|Tony_Blair|2012-09-24|4
Karol_Kučera|2012-02-11|Joseph_McCarthy|2012-10-10|5
Karol_Kučera|2012-02-11|Joseph_McCarthy|2012-12-17|5
Ivan_Ljubičić|2012-03-21|Maurice_Ravel|2012-11-30|3
Ivan_Ljubičić|2012-03-22|Maurice_Ravel|2012-11-30|4
Ivan_Ljubičić|2012-07-14|Maurice_Ravel|2012-11-30|6
Toru_Takemitsu|2011-10-04|Anne,_Queen_of_Great_Britain|2012-12-17|4
Toru_Takemitsu|2011-10-05|Anne,_Queen_of_Great_Britain|2012-12-17|5
David_Hockney|2011-06-14|Axis_powers|2012-12-11|6
David_Hockney|2011-06-15|Axis_powers|2012-12-11|3
Enrique_Iglesias|2012-04-27|Mount_Athos|2012-05-08|6
Enrique_Iglesias|2012-04-28|Mount_Athos|2012-05-08|3
Enrique_Iglesias|2012-04-29|Mount_Athos|2012-05-08|4
Ehud_Olmert|2012-08-04|Anne,_Queen_of_Great_Britain|2012-12-17|4
Ehud_Olmert|2012-08-05|Anne,_Queen_of_Great_Britain|2012-12-17|5
Marc_Gicquel|2010-12-02|Austria|2011-10-15|3
Marc_Gicquel|2012-07-25|Austria|2011-10-15|6
Marc_Gicquel|2012-07-26|Austria|2011-10-15|3
Imelda_Marcos|2012-05-07|Albert,_Prince_Consort|2012-10-11|4
Imelda_Marcos|2012-05-08|Albert,_Prince_Consort|2012-10-11|5
Imelda_Marcos|2012-05-09|Albert,_Prince_Consort|2012-10-11|6
Khalid_Sheikh_Mohammed|2012-09-15|Austria|2011-10-15|6
Khalid_Sheikh_Mohammed|2012-09-16|Austria|2011-10-15|3
Haile_Gebrselassie|2011-03-26|Elizabeth_I_of_England|2012-09-28|4
Marc_Gicquel|2010-12-02|George_W._Bush|2012-06-24|3
Marc_Gicquel|2012-07-25|George_W._Bush|2012-06-24|6
Marc_Gicquel|2012-07-26|George_W._Bush|2012-06-24|3
Jawaharlal_Nehru|2011-04-20|Joseph_Haydn|2012-05-16|6
Rubén_Blades|2010-06-03|Avril_Lavigne|2012-12-07|3
Eugène_Ionesco|2012-04-07|William_Penn|2012-12-25|5
Yoko_Ono|2011-09-23|Samuel_Beckett|2012-12-13|5
David_Hockney|2011-06-14|Carl_Jung|2012-11-29|6
David_Hockney|2011-06-15|Carl_Jung|2012-11-29|3
Francis_I_of_the_Two_Sicilies|2012-10-04|Slavoj_Žižek|2012-11-30|4
Léopold_Sédar_Senghor|2010-10-05|Stevie_Wonder|2012-06-22|3
Jan_Hus|2011-06-22|Lithuania|2012-11-10|3
Manuel_Noriega|2012-06-02|Avril_Lavigne|2012-12-07|3
Manuel_Noriega|2012-06-03|Avril_Lavigne|2012-12-07|4
Haile_Selassie_I|2010-08-29|Leonardo_DiCaprio|2012-11-14|3
Haile_Selassie_I|2010-08-30|Leonardo_DiCaprio|2012-11-14|4
Francis_I_of_the_Two_Sicilies|2012-10-04|Edward_Heath|2012-01-04|5
Fernando_González|2011-09-27|Stephen_Sondheim|2012-10-04|3
Gil_Kane|2011-04-13|Woodrow_Wilson|2011-10-15|6
Gil_Kane|2011-04-14|Woodrow_Wilson|2011-10-15|3
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Francis_Bacon|2012-11-20|6
Paul_Capdeville|2010-11-22|Bono|2012-12-02|6
Diosdado_Macapagal|2012-10-08|William_Shatner|2012-09-14|3
Garry_Kasparov|2011-10-18|Ezra_Pound|2012-12-17|6
John_Rhys-Davies|2012-04-20|Byzantine_Empire|2012-08-04|3
John_Rhys-Davies|2012-04-20|Byzantine_Empire|2012-12-10|3
John_Rhys-Davies|2012-04-21|Byzantine_Empire|2012-08-04|4
John_Rhys-Davies|2012-04-21|Byzantine_Empire|2012-12-10|4
Ivan_Ljubičić|2012-03-21|Henri_Matisse|2012-09-17|5
Ivan_Ljubičić|2012-03-22|Henri_Matisse|2012-09-17|6
Ivan_Ljubičić|2012-07-14|Henri_Matisse|2012-09-17|4
Haile_Gebrselassie|2011-03-26|Yemen|2012-12-19|6
Tom_Gehrels|2011-02-02|Augustus|2012-10-19|5
Tom_Gehrels|2011-02-03|Augustus|2012-10-19|6
Imelda_Marcos|2012-05-07|Lorenz_Hart|2012-10-08|5
Imelda_Marcos|2012-05-08|Lorenz_Hart|2012-10-08|6
Imelda_Marcos|2012-05-09|Lorenz_Hart|2012-10-08|3
Khalid_Sheikh_Mohammed|2012-09-15|Andrew_Johnson|2012-10-04|4
Khalid_Sheikh_Mohammed|2012-09-16|Andrew_Johnson|2012-10-04|5
Paul_Capdeville|2010-11-22|German_Empire|2012-12-18|6
Joe_Strummer|2011-10-22|Ezra_Pound|2012-12-17|6
Joe_Strummer|2011-10-23|Ezra_Pound|2012-12-17|3
Bobby_Hull|2012-06-21|Josephus|2011-10-06|3
Bobby_Hull|2012-06-22|Josephus|2011-10-06|4
Muammar_Gaddafi|2011-10-15|Albert,_Prince_Consort|2012-10-11|4
Muammar_Gaddafi|2011-10-16|Albert,_Prince_Consort|2012-10-11|5
Muammar_Gaddafi|2011-10-17|Albert,_Prince_Consort|2012-10-11|6
Freddie_Mercury|2011-01-04|Mahmud_of_Ghazni|2012-08-11|3
Freddie_Mercury|2011-01-05|Mahmud_of_Ghazni|2012-08-11|4
Luís_Figo|2010-09-30|Hillary_Rodham_Clinton|2012-11-02|3
Siad_Barre|2010-06-16|Leonardo_DiCaprio|2012-11-14|5
Enrique_Iglesias|2012-04-27|George_Armstrong_Custer|2012-12-01|5
Enrique_Iglesias|2012-04-28|George_Armstrong_Custer|2012-12-01|6
Enrique_Iglesias|2012-04-29|George_Armstrong_Custer|2012-12-01|3
Helena_Blavatsky|2012-09-15|William_the_Conqueror|2012-11-18|5
Humayun|2011-10-08|Mount_Athos|2012-05-08|5
Tom_Gehrels|2011-02-02|John_Williams|2012-12-24|3
Tom_Gehrels|2011-02-03|John_Williams|2012-12-24|4
Ivan_Ljubičić|2012-03-21|Salvador_Dalí|2011-02-15|6
Ivan_Ljubičić|2012-03-22|Salvador_Dalí|2011-02-15|3
Ivan_Ljubičić|2012-07-14|Salvador_Dalí|2011-02-15|5
Ehud_Olmert|2012-08-04|Joseph_Haydn|2012-05-16|5
Ehud_Olmert|2012-08-05|Joseph_Haydn|2012-05-16|6
David_Hockney|2011-06-14|Slavoj_Žižek|2012-11-30|3
David_Hockney|2011-06-15|Slavoj_Žižek|2012-11-30|4
