company:STRING|person2Id:ID
Tradewinds_Airlines|15393223038082
FedEx_Express|17592206384471
Gryphon_Airlines|15393237153444
Xtra_Airways|15393237153444
Sierra_Pacific_Airlines|15393237153444
Miami_Air_International|15393237153444
Merlin_Airways|15393237153444
National_Airlines_(5M)|13194179172667
L-3_Flight_International_Aviation|13194179172667
Cape_Air|13194179172667
Air_Transport_International|15393234439010
Bering_Air|15393234439010
Sierra_Pacific_Airlines|15393234439010
Miami_Air_International|15393234439010
Merlin_Airways|15393234439010
Martinaire|15393202193580
Southern_Air|15393202193580
Era_Aviation|15393202193580
L.A.B._Flying_Service|15393202193580
Frontier_Flying_Service|35184442713564
Air_Transport_International|4398057749252
40-Mile_Air|4398057749252
Trans-Florida_Airlines|4398057749252
L-3_Flight_International_Aviation|13194191169672
Cape_Air|13194191169672
SATSair|13194191169672
Big_Island_Air|13194191169672
Air_Transport_International|17592189557706
Bering_Air|17592189557706
Gryphon_Airlines|17592189557706
Xtra_Airways|17592189557706
Boston-Maine_Airways|17592201572322
Trans-Florida_Airlines|17592201572322
L-3_Flight_International_Aviation|13194196052735
Cape_Air|13194196052735
Freedom_Airlines|10995147296671
Flying_Tiger_Line|4398100331027
American_Flyers_Airline|21990246204480
Big_Island_Air|13194187942928
Freedom_Airlines|28587339959925
Sierra_Pacific_Airlines|17592206049363
Miami_Air_International|17592206049363
Merlin_Airways|17592206049363
Xtra_Airways|19791275880857
Flying_Tiger_Line|4398086536645
Miami_Air_International|4398086536645
Martinaire|15393211085880
Era_Aviation|15393211085880
Everts_Air_Cargo|35184442503929
Express.Net_Airlines|35184442503929
Northern_Air_Cargo|21990270284055
Everts_Air_Cargo|6597094308581
Express_One_International|6597094308581
Frontier_Airlines|6597094308581
Champion_Air|21990290220091
FedEx_Express|8796140077090
Era_Aviation|8796140077090
Champion_Air|8796140077090
Arctic_Circle_Air|8796123613855
Air_Choice_One|24189291402551
Big_Island_Air|8796145617493
Gryphon_Airlines|8796119108622
FS_Air_Service|4398085384920
Air_East|8796107160363
Kalitta_Charters|8796107160363
Air_Grand_Canyon|13194194260962
Florida_Coastal_Airlines|30786389577341
National_Airlines_(5M)|30786389577341
Martinaire|15393222565298
Southern_Air|15393222565298
Era_Aviation|15393222565298
Freedom_Airlines|28587337552454
Pace_Airlines|32985399145420
American_Flyers_Airline|26388353716529
Air_Grand_Canyon|13194206932346
FedEx_Express|8796110783546
Era_Aviation|8796110783546
Champion_Air|8796110783546
C&M_Airways|19791219738020
Gemini_Air_Cargo|19791219738020
Boston-Maine_Airways|19791274244558
Champion_Air|19791274244558
Express.Net_Airlines|4398086079844
Merlin_Airways|17592204879516
Boston-Maine_Airways|19791276126919
Express_One_International|19791276126919
Arctic_Circle_Air|24189325567382
Northern_Air_Cargo|24189325567382
Boston-Maine_Airways|17592220217095
Trans-Florida_Airlines|17592220217095
Cape_Air|15393186379507
40-Mile_Air|8796093450988
Arctic_Circle_Air|15393214080578
Kalitta_Charters|2199041576655
Capital_Cargo_International_Airlines|26388344952623
Frontier_Flying_Service|26388344952623
Air_Transport_International|15393230677848
Bering_Air|15393230677848
Gryphon_Airlines|15393230677848
Xtra_Airways|15393230677848
Sierra_Pacific_Airlines|15393230677848
Miami_Air_International|15393230677848
Merlin_Airways|15393230677848
Air_Transport_International|15393208711082
Bering_Air|15393208711082
Gryphon_Airlines|15393208711082
Xtra_Airways|15393208711082
Flying_Tiger_Line|35184393717774
National_Airlines_(5M)|35184393717774
Tradewinds_Airlines|24189296402606
Merlin_Airways|24189296402606
Capital_Cargo_International_Airlines|19791280242018
FS_Air_Service|19791280242018
SATSair|15393167788464
Flying_Tiger_Line|4398089295971
Merlin_Airways|17592218250666
SATSair|32985365020359
CommutAir|16177475
Boston-Maine_Airways|17592210733024
FedEx_Express|17592210733024
Trans-Florida_Airlines|17592210733024
Freedom_Airlines|10995139173526
Express.Net_Airlines|4398074640038
C&M_Airways|2199085072219
Kitty_Hawk_Aircargo|2199085072219
Air_Grand_Canyon|13194215968734
Cape_Air|15393192091121
Frontier_Airlines|19791257243571
Air_East|2199048471620
40-Mile_Air|6597132950114
Northern_Air_Cargo|21990268790924
FS_Air_Service|4398094678822
Flying_Tiger_Line|35184388736406
National_Airlines_(5M)|35184388736406
Arctic_Circle_Air|15393203794247
FedEx_Express|8796131477313
Era_Aviation|8796131477313
Champion_Air|8796131477313
Sierra_Pacific_Airlines|17592219699140
Miami_Air_International|17592219699140
Merlin_Airways|17592219699140
C&M_Airways|2199087738685
Kitty_Hawk_Aircargo|2199087738685
Florida_Coastal_Airlines|32985378357786
National_Airlines_(5M)|32985378357786
Everts_Air_Cargo|6597102643582
Express_One_International|6597102643582
Frontier_Airlines|6597102643582
Martinaire|15393221133495
Southern_Air|15393221133495
Era_Aviation|15393221133495
CommutAir|21990248092415
Capital_Cargo_International_Airlines|26388335001707
Frontier_Flying_Service|26388335001707
Capital_Cargo_International_Airlines|26388331826272
Frontier_Flying_Service|26388331826272
C&M_Airways|4398066570138
Martinaire|15393210742673
Southern_Air|15393210742673
Era_Aviation|15393210742673
L.A.B._Flying_Service|15393210742673
Everts_Air_Cargo|35184445652069
Express.Net_Airlines|35184445652069
L-3_Flight_International_Aviation|15393166414619
Cape_Air|15393166414619
SATSair|15393166414619
American_Flyers_Airline|28587310061333
Capital_Cargo_International_Airlines|28587310061333
Frontier_Flying_Service|28587310061333
Gryphon_Airlines|8796121197727
Frontier_Airlines|19791269754133
Merlin_Airways|17592202584157
Island_Air_Service|24189316201884
Flying_Tiger_Line|4398090151217
Express.Net_Airlines|4398096544304
L-3_Flight_International_Aviation|13194191194555
Cape_Air|13194191194555
Big_Island_Air|13194191194555
Cape_Air|2199085159050
Capital_Cargo_International_Airlines|2199085159050
C&M_Airways|2199089891280
Kitty_Hawk_Aircargo|2199089891280
Tradewinds_Airlines|13194157665508
IBC_Airways|13194157665508
