person1Id:ID|person2Id:ID|startDate:DATE|endDate:DATE
15393213010218|15393214423888|2010-04-12|2010-05-04
19791282071665|19791283954807|2010-04-10|2010-05-02
17592234781363|17592236084864|2010-04-16|2010-05-08
8796105131093|6597086535987|2010-04-17|2010-05-09
6597078532648|6597078578588|2010-04-16|2010-05-08
30786325675527|30786329043424|2010-04-12|2010-05-04
19791281552966|19791284462267|2010-04-17|2010-05-09
8796114930287|13194190109262|2010-04-11|2010-05-03
8796105131093|8796105197051|2010-04-17|2010-05-09
13194183007540|13194181804275|2010-04-10|2010-05-02
15393167138198|15393184381317|2010-04-11|2010-05-03
8796105131093|8796105295641|2010-04-17|2010-05-09
8796114480635|10995190194515|2010-04-17|2010-05-09
17592208876103|17592207546495|2010-04-14|2010-05-06
6597078532648|6597083012662|2010-04-16|2010-05-08
2199054753538|2199047478832|2010-04-16|2010-05-08
6597074391619|4398120274684|2010-04-13|2010-05-05
28587304163413|26388309621146|2010-04-10|2010-05-02
6597078532648|10995131578536|2010-04-16|2010-05-08
30786325675527|21990233532095|2010-04-12|2010-05-04
46689032|46336278|2010-04-11|2010-05-03
2199097033276|2199097385987|2010-04-13|2010-05-05
24189307621395|24189286411152|2010-04-15|2010-05-07
13194140793748|13194191124465|2010-04-16|2010-05-08
19791232401763|19791233518348|2010-04-10|2010-05-02
8796132746429|6597118030738|2010-04-14|2010-05-06
13194167126712|21990248497519|2010-04-15|2010-05-07
24189303568375|24189293783667|2010-04-10|2010-05-02
21990261623379|21990260211504|2010-04-15|2010-05-07
8796128001502|10995121216853|2010-04-13|2010-05-05
21990261623379|21990261683521|2010-04-15|2010-05-07
13194216346234|13194213481347|2010-04-13|2010-05-05
13194216346234|13194187394189|2010-04-13|2010-05-05
8796128001502|8796161462030|2010-04-13|2010-05-05
28587346280116|28587346797153|2010-04-16|2010-05-08
28587358076839|28587356791326|2010-04-16|2010-05-08
21990301572253|21990305294170|2010-04-13|2010-05-05
8796114930287|8796145839833|2010-04-11|2010-05-03
13044065|13055487|2010-04-14|2010-05-06
6597078532648|6597078771252|2010-04-16|2010-05-08
24189311104011|24189310737074|2010-04-09|2010-05-01
17592262065325|19791209966438|2010-04-10|2010-05-02
13194216346234|13194213619983|2010-04-13|2010-05-05
17592234781363|19791229158041|2010-04-16|2010-05-08
19791232401763|19791232085356|2010-04-10|2010-05-02
30786325675527|30786331315834|2010-04-12|2010-05-04
19791282071665|19791282140346|2010-04-10|2010-05-02
6597107305025|6597110389749|2010-04-14|2010-05-06
24189307621395|24189278466421|2010-04-15|2010-05-07
6597106783835|6597107241228|2010-04-14|2010-05-06
28587367020989|28587366729375|2010-04-11|2010-05-03
8796114930287|8796114243737|2010-04-11|2010-05-03
30786325675527|30786348764230|2010-04-12|2010-05-04
8796128001502|8796127385489|2010-04-13|2010-05-05
28587329887460|28587329567854|2010-04-14|2010-05-06
13194183007540|13194181733639|2010-04-10|2010-05-02
28587358076839|28587359942825|2010-04-16|2010-05-08
15393167138198|15393167163564|2010-04-11|2010-05-03
26388313704763|26388281382276|2010-04-16|2010-05-08
17592234781363|17592218698132|2010-04-16|2010-05-08
6597074391619|6597073551027|2010-04-13|2010-05-05
24189303568375|24189320597236|2010-04-10|2010-05-02
13194140793748|13194139747559|2010-04-16|2010-05-08
8796114930287|6597114362147|2010-04-11|2010-05-03
8796114930287|8796169115307|2010-04-11|2010-05-03
6597078532648|6597074421075|2010-04-16|2010-05-08
4398063785459|4398065024984|2010-04-17|2010-05-09
24189303568375|26388311501208|2010-04-10|2010-05-02
13194183007540|13194160436565|2010-04-10|2010-05-02
19791232401763|24189279818943|2010-04-10|2010-05-02
28587329887460|30786367566510|2010-04-14|2010-05-06
26388343823881|26388342903946|2010-04-13|2010-05-05
6597145265475|6597146615263|2010-04-12|2010-05-04
21990261623379|21990263666617|2010-04-15|2010-05-07
28587307423284|24189331799526|2010-04-09|2010-05-01
6597145265475|6597144332850|2010-04-12|2010-05-04
15393213010218|15393192622720|2010-04-12|2010-05-04
19791239245761|13194170216001|2010-04-12|2010-05-04
