country1:STRING|country2:STRING
India|Netherlands
China|Belgium
India|Greece
China|Netherlands
China|Egypt
China|England
India|Algeria
India|Taiwan
China|Zambia
China|Turkey
China|Kenya
India|Hungary
China|Afghanistan
China|Tanzania
China|Ethiopia
China|South_Korea
India|Tunisia
China|Democratic_Republic_of_the_Congo
India|Kazakhstan
China|Ukraine
China|Iran
India|Moldova
India|Colombia
China|Tunisia
India|Belgium
China|Peru
India|Turkey
China|Greece
India|Ukraine
India|Niger
India|Kenya
India|Thailand
India|Cameroon
China|Kazakhstan
India|Peru
China|France
China|Moldova
China|Niger
India|Spain
China|Thailand
China|Senegal
China|United_Kingdom
China|Nepal
China|Hungary
China|Taiwan
India|Cuba
India|Belarus
China|Portugal
India|Tanzania
India|Senegal
