personId:ID|country:STRING|tagClass:STRING|minPathDistance:INT|maxPathDistance:INT
237595|Cambodia|ComicsCreator|3|4
182631|Hungary|Architect|3|4
22052|Kenya|Thing|3|4
55700|Turkey|Senator|3|4
54664|Yemen|Politician|3|4
45993|Hungary|Politician|3|4
249575|Zambia|BasketballPlayer|3|4
127310|Cambodia|Thing|3|4
133213|Venezuela|AmericanFootballPlayer|3|4
200792|Niger|AmericanFootballPlayer|3|4
249575|Cambodia|AmericanFootballPlayer|3|4
200792|Iran|Cricketer|3|4
101666|Hungary|Saint|3|4
292450|Moldova|Saint|3|4
292450|Iran|NascarDriver|3|4
274354|Venezuela|ComicsCreator|3|4
101666|Australia|ComicsCreator|3|4
200792|Cambodia|Saint|3|4
291485|Taiwan|NascarDriver|3|4
109055|Australia|PrimeMinister|3|4
32145|Niger|FormulaOneRacer|3|4
116292|Greece|FormulaOneRacer|3|4
116292|Turkey|Monarch|3|4
270252|Belarus|BaseballPlayer|3|4
111654|Iran|Saint|3|4
253901|Afghanistan|SoccerManager|3|4
54890|Niger|SoccerManager|3|4
292450|Taiwan|ComicsCreator|3|4
271821|Kenya|AmericanFootballPlayer|3|4
107964|Turkey|PrimeMinister|3|4
271821|Yemen|Thing|3|4
210392|Cuba|FormulaOneRacer|3|4
249575|Cuba|Architect|3|4
55700|England|BasketballPlayer|3|4
107964|Turkey|NascarDriver|3|4
32145|Yemen|Monarch|3|4
208762|Turkey|BasketballPlayer|3|4
32145|Afghanistan|Cricketer|3|4
225683|Cambodia|BaseballPlayer|3|4
200792|Cuba|Saint|3|4
200792|Taiwan|Politician|3|4
223868|Turkey|Monarch|3|4
232026|Belarus|AmericanFootballPlayer|3|4
252760|Turkey|Monarch|3|4
271821|Niger|Architect|3|4
24395|Afghanistan|Cricketer|3|4
208762|Belgium|Politician|3|4
22052|Venezuela|SoccerManager|3|4
292450|Zambia|Cricketer|3|4
210392|Tunisia|AmericanFootballPlayer|3|4
292450|Turkey|Cricketer|3|4
54890|Venezuela|Architect|3|4
270252|Hungary|Monarch|3|4
269156|Hungary|Politician|3|4
274374|Afghanistan|BaseballPlayer|3|4
249575|Hungary|Thing|3|4
235100|Zambia|FormulaOneRacer|3|4
235100|Taiwan|Monarch|3|4
225683|Venezuela|Thing|3|4
250302|Afghanistan|AmericanFootballPlayer|3|4
168106|Tunisia|Senator|3|4
